User_ID,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Ethnicity,Balance
1,15235,2344,234,1,18,9,Male,Yes,No,Caucasian,10000
2,24578,2999,483,1,19,8,Female,Yes,No,Asian,10000
3,54900,1256,514,2,20,7,Male,Yes,No,Asian,12000
4,45677,1500,435,2,21,8,Female,Yes,No,Asian,10000
5,33000,2500,357,1,22,9,Male,Yes,No,Caucasian,10000
6,60000,3000,612,2,26,12,Male,No,No,Black,15000
7,65000,4000,655,2,35,15,Female,No,No,Black,20000
8,75000,4500,678,3,28,11,Male,No,No,Asian,20000
9,75000,4500,800,4,29,11,Female,No,No,Asian,25000
10,65000,4000,700,4,35,16,Male,No,No,Caucasian,25000
11,80000,5000,811,4,35,16,Male,No,Yes,Caucasian,25000
12,90000,6654,865,5,36,16,Female,No,Yes,Asian,30000
13,100000,5789,900,4,37,19,Male,No,Yes,Asian,30000
14,85000,6888,1000,5,38,19,Female,No,Yes,Asian,31000
15,85000,5462,900,5,45,20,Male,No,Yes,Caucasian,35000
16,100000,7000,1000,6,45,20,Male,No,Yes,Caucasian,35000
17,106025,8645,1100,6,46,21,Female,No,Yes,Asian,36000
18,120000,7075,1200,7,47,22,Male,No,Yes,Asian,40000
19,100000,8504,1000,8,48,22,Female,No,Yes,Asian,45000
20,100000,8897,1000,8,49,22,Male,No,Yes,Caucasian,45000
21,125000,9000,1200,8,55,22,Male,No,Yes,Caucasian,59999
22,140000,10000,1300,8,56,23,Male,No,Yes,Caucasian,100000
23,120000,10000,1400,9,57,25,Female,No,Yes,Asian,100000
24,120000,11000,1400,10,64,25,Male,No,Yes,Asian,100000
25,150000,11000,1400,10,65,25,Female,No,Yes,Asian,100000


